category	name	contactX	mainGenre	idolName	officialPage	comment
Find actively	시니 XINI	@CLSQ_XINI	왕도계 / 전파계 / 악곡	시니 XINI (세레스쿠)		전, 세레스쿠의 멤버로 드러머로 활동, 오리지널곡 제작
Find actively	네오 ねお	@WAITXX_NE0	전파계	네오 ねお (지바쿠X)	https://www.postype.com/@ne0music/post/22257115	오리지널곡 및 SE 제작
Find actively	TOWA	@yuka_cilio	각고이 / 라우드	하논 波音 (SAKEBI)	https://www.youtube.com/@towa_m.p	오리지널곡 및 SE 제작
Find actively	레이 れい	@r3idake_	왕도계 / 각고이	레이 れい (아마타메)		최근 아마키제 오리지널곡 작업, SE 및 오리지널 곡 제작
Find actively	ankimo	@Ankimo_o	각고이 / 라우드			오리지널곡 제작, 믹싱 마스터링 제공
Find actively	N.A Music	@namusikofficial	왕도계 / 각고이			오리지널곡 및 SE 제작
Find actively	소찬 ソチャン	@sochan_life	전파계 / 왕도계 / 각고이		https://x.com/sochan_life/status/2047613154973405430?s=20	오리지널곡 제작 프로모션 진행 (하단 x.com 링크 참조)
Chika Idol Active	포요 PPOYO	@PPOYO_official	왕도계 / 각고이	포요 PPOYO	https://ppoyo.com/	전, 루시드림 멤버로, 오리지널 곡 및 SE 제작
Chika Idol Active	RIA リア	@LuciDreaM_RIA	전파계 / 각고이	RIA リア		루시드림 멤버로, 오리지널 곡 및 SE 제작
Subculture	Yoshiro	@yoshiro_bass	각고이 / 라우드			팀 네무리유메 프로듀서, 오리지널 곡 및 SE 제작
Subculture	흑기 BLKFLAGZ	@BLKFLAGZ_T23	왕도계 / 각고이		soundcloud.com/blkflagz	오니비데슈고 오리지널 곡 작업 프로듀서
Hybrid	Nomadworks	@Nomadworks5108	라우드 / 왕도계			나이트멜로, 하피즈 외 AWAFE 소속 다수 오리지널 곡 제작
Overseas	とくのすたー	@Tokunostar	왕도계 / 전파계			유비키리 오리지널곡 및 SE 제작
Overseas	Mewzica	@Nyankosoba0205	악곡 / 왕도계			키세오, 절대전력Z 외 다수 국내 오리지널 곡 및 SE 참여
Overseas	SO-YA	@0watarase0	각고이 / 전파계			유명 작곡 프로듀서팀 TRIFRONTIER 소속, 망상유희 오리지널 곡 프로듀스
Overseas	宮西ソウマ	@GNBSoma	왕도계 / 마츠리			포코포코 오리지널 곡 작업 프로듀서, JYA☆PON, STAiNY 외 다수 참여
Overseas	ynz わいえぬぜっと	@ynz_fire	전파계 / 각고이			오리카, 하츠칸덴 외 EDEN 소속 다수 오리지널 곡 제작
