producerName	trackTitle	trackUrl	featured
시니 XINI	영원	https://youtu.be/f9zLv56VW5c?si=-yPCvtwIqWdblxYx	TRUE
네오 ねお	성불금지		TRUE
네오 ねお	キミとstage		TRUE
TOWA	Insomnia	https://youtu.be/c9_WxkzbBXA?si=kADdBc3zqfx6Lc2p	TRUE
TOWA	Cipher	https://music.bugs.co.kr/album/20611332	TRUE
레이 れい	빠져라! Sweet Sensation		TRUE
ankimo	BABYSTEP	https://music.bugs.co.kr/album/20809442	TRUE
N.A Music	나♡->너		TRUE
N.A Music	Force		TRUE
소찬 ソチャン	넷키파레 2기 SE	https://soundcloud.com/sochan_life/nek1-pr4de-se?si=762562be5fed43a0b067469252028b19	TRUE
포요 PPOYO	えいえいお!		TRUE
포요 PPOYO	Manège	https://music.bugs.co.kr/album/20552651	TRUE
RIA リア	Mannequin	https://music.bugs.co.kr/album/20674221	TRUE
RIA リア	Pixel Earth	https://music.bugs.co.kr/album/20607437	TRUE
Yoshiro	Paint	https://music.bugs.co.kr/album/20804972	TRUE
Yoshiro	Hate It	https://music.bugs.co.kr/album/20804972	TRUE
Nomadworks	LOVE, SET, GO!		TRUE
Nomadworks	Xirium		TRUE
とくのすたー	YUB!KiRi GENNMAN☆		TRUE
とくのすたー	all in love girl♡⇔？		TRUE
Mewzica	미탐험지도		TRUE
Mewzica	Tomorrow!		TRUE
SO-YA	Twilightreat		TRUE
宮西ソウマ	dancing blaze!!		TRUE
宮西ソウマ	ぼくのメテオ		TRUE
ynz わいえぬぜっと	さようならチューン		TRUE
ynz わいえぬぜっと	PariPi		TRUE
