producerName	trackTitle	trackArtist	trackUrl	featured
山田プロデューサー	夜明けのメロディ		https://youtu.be/example1	TRUE
山田プロデューサー	星屑ダンス			TRUE
山田プロデューサー	サンプルトラック3	コラボアーティスト		FALSE
김민준	달빛 아래서		https://youtu.be/example2	TRUE
김민준	샘플 트랙2			TRUE
田中たかし	地下鉄道		https://youtu.be/example3	TRUE
田中たかし	闇夜のロック		https://youtu.be/example4	TRUE
田中たかし	サンプルトラック3	feat. ゲスト		FALSE
이서연	네온 드림			TRUE
鈴木エミ	カラフルデイズ			TRUE
鈴木エミ	サンプルトラック2			TRUE
佐藤ゲーマー	8bitラブ		https://youtu.be/example6	TRUE
佐藤ゲーマー	ピクセルダンス		https://youtu.be/example7	TRUE
박지훈	샘플 트랙1			TRUE
박지훈	샘플 트랙2			TRUE
中村ハイブリッド	ネオシティナイト		https://youtu.be/example8	TRUE
中村ハイブリッド	サンプルトラック2			TRUE
최유진	재즈 나이트			TRUE
최유진	봄날의 재즈		https://youtu.be/example9	TRUE
Jenny Park	Pink Ocean		https://youtu.be/example10	TRUE
Jenny Park	Wave		https://youtu.be/example11	TRUE
Jenny Park	Sample Track 3	feat. Guest Artist		FALSE
Tanaka Ren	NightBlooms			TRUE
Tanaka Ren	Sample Track 2			TRUE
